-1	1	0	
-1	2	0	
-1	3	0	
0	1	0	
0	2	0	
0	3	0	
1	1	0	
1	2	0	
1	3	0	
2	1	0	
2	2	0	
2	3	0	
3	1	0	
3	2	0	
3	3	0	
4	1	0	
4	2	0	
4	3	0	
5	1	1	
5	2	0	
5	3	0	
6	1	1	
6	2	49	
6	3	0	
7	1	0	
7	2	44	
7	3	0	
8	1	1	
8	2	37	
8	3	0	
9	1	1	
9	2	53	
9	3	0	
10	1	0	
10	2	35	
10	3	0	
11	1	0	
11	2	41	
11	3	0	
12	1	0	
12	2	0	
12	3	4	
13	1	0	
13	2	0	
13	3	9	
14	1	0	
14	2	0	
14	3	6	
15	1	0	
15	2	0	
15	3	6	
16	1	0	
16	2	0	
16	3	2	
17	1	0	
17	2	0	
17	3	6	
18	1	0	
18	2	0	
18	3	3	
19	1	0	
19	2	0	
19	3	4	
20	1	0	
20	2	0	
20	3	9	
21	1	0	
21	2	0	
21	3	7	
22	1	0	
22	2	0	
22	3	5	
23	1	0	
23	2	0	
23	3	6	
24	1	0	
24	2	0	
24	3	8	
25	1	0	
25	2	0	
25	3	9	
26	1	0	
26	2	0	
26	3	6	
27	1	0	
27	2	0	
27	3	6	
28	1	0	
28	2	0	
28	3	4	
29	1	0	
29	2	0	
29	3	7	
30	1	0	
30	2	0	
30	3	5	
31	1	0	
31	2	0	
31	3	7	
32	1	0	
32	2	0	
32	3	1	
33	1	0	
33	2	0	
33	3	4	
34	1	0	
34	2	0	
34	3	5	
35	1	0	
35	2	0	
35	3	5	
36	1	0	
36	2	0	
36	3	8	
37	1	0	
37	2	0	
37	3	4	
38	1	0	
38	2	0	
38	3	12	
39	1	0	
39	2	0	
39	3	12	
40	1	0	
40	2	0	
40	3	10	
41	1	0	
41	2	0	
41	3	9	
42	1	0	
42	2	0	
42	3	12	
43	1	0	
43	2	0	
43	3	9	
44	1	0	
44	2	0	
44	3	10	
45	1	0	
45	2	0	
45	3	8	
46	1	0	
46	2	0	
46	3	6	
47	1	0	
47	2	0	
47	3	9	
48	1	0	
48	2	0	
48	3	10	
49	1	0	
49	2	0	
49	3	8	
50	1	0	
50	2	0	
50	3	6	
51	1	0	
51	2	0	
51	3	7	
52	1	0	
52	2	0	
52	3	5	
53	1	0	
53	2	0	
53	3	7	
54	1	0	
54	2	0	
54	3	3	
55	1	0	
55	2	0	
55	3	10	
56	1	0	
56	2	0	
56	3	13	
57	1	0	
57	2	0	
57	3	8	
58	1	0	
58	2	0	
58	3	4	
59	1	0	
59	2	0	
59	3	13	
60	1	0	
60	2	0	
60	3	6	
61	1	0	
61	2	0	
61	3	10	
62	1	0	
62	2	0	
62	3	3	
63	1	0	
63	2	0	
63	3	2	
64	1	0	
64	2	0	
64	3	7	
65	1	0	
65	2	0	
65	3	2	
66	1	0	
66	2	0	
66	3	8	
67	1	0	
67	2	0	
67	3	9	
68	1	0	
68	2	0	
68	3	13	
69	1	0	
69	2	0	
69	3	6	
70	1	0	
70	2	0	
70	3	8	
71	1	0	
71	2	0	
71	3	5	
72	1	0	
72	2	0	
72	3	7	
73	1	0	
73	2	0	
73	3	4	
74	1	0	
74	2	0	
74	3	8	
75	1	0	
75	2	0	
75	3	6	
76	1	0	
76	2	0	
76	3	8	
77	1	0	
77	2	0	
77	3	7	
78	1	0	
78	2	0	
78	3	1	
79	1	0	
79	2	0	
79	3	8	
80	1	0	
80	2	0	
80	3	8	
81	1	0	
81	2	0	
81	3	11	
82	1	0	
82	2	0	
82	3	10	
83	1	0	
83	2	0	
83	3	7	
84	1	0	
84	2	0	
84	3	12	
85	1	0	
85	2	0	
85	3	10	
86	1	0	
86	2	0	
86	3	8	
87	1	0	
87	2	0	
87	3	6	
88	1	0	
88	2	0	
88	3	8	
89	1	0	
89	2	0	
89	3	6	
90	1	0	
90	2	0	
90	3	11	
91	1	0	
91	2	0	
91	3	12	
92	1	0	
92	2	0	
92	3	10	
93	1	0	
93	2	0	
93	3	8	
94	1	0	
94	2	0	
94	3	10	
95	1	0	
95	2	0	
95	3	7	
96	1	0	
96	2	0	
96	3	6	
97	1	0	
97	2	0	
97	3	0	
98	1	0	
98	2	0	
98	3	0	
99	1	0	
99	2	0	
99	3	0	
100	1	0	
100	2	0	
100	3	0	
101	1	0	
101	2	0	
101	3	0	
102	1	0	
102	2	0	
102	3	0	
103	1	0	
103	2	0	
103	3	0	
104	1	0	
104	2	0	
104	3	0	
105	1	0	
105	2	0	
105	3	0	
106	1	0	
106	2	0	
106	3	0	
107	1	0	
107	2	0	
107	3	0	
108	1	0	
108	2	0	
108	3	0	
109	1	0	
109	2	0	
109	3	0	
110	1	0	
110	2	0	
110	3	0	
111	1	0	
111	2	0	
111	3	0	
112	1	0	
112	2	0	
112	3	0	
113	1	0	
113	2	0	
113	3	0	
114	1	0	
114	2	0	
114	3	0	
115	1	0	
115	2	0	
115	3	0	
116	1	0	
116	2	0	
116	3	0	
117	1	0	
117	2	0	
117	3	0	
118	1	0	
118	2	0	
118	3	0	
119	1	0	
119	2	0	
119	3	0	
120	1	0	
120	2	0	
120	3	0	
